STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
TURN OUT,,,,,,TOTAL:,,,215966,726,216692,68.88,
Uttar Pradesh,17,Najibabad,1 TASLEEM AHMAD,MALE,61,GENERAL,SP,Bicycle,102321,354,102675,44.14,346687
Uttar Pradesh,17,Najibabad,2 RAJA BHARATENDRA SINGH,MALE,58,GENERAL,BJP,Lotus,78518,387,78905,33.92,346687
Uttar Pradesh,17,Najibabad,3 SHAHNAWAZ ALAM,MALE,43,GENERAL,BSP,Elephant,44595,132,44727,19.23,346687
Uttar Pradesh,17,Najibabad,4 MOHD SALEEM ANSARI,MALE,54,GENERAL,INC,Hand,1953,5,1958,0.84,346687
Uttar Pradesh,17,Najibabad,5 NOTA,,,,NOTA,NOTA,1368,4,1372,0.59,346687
Uttar Pradesh,17,Najibabad,6 MOHD DANISH,MALE,31,GENERAL,ASPKR,Kettle,571,4,575,0.25,346687
Uttar Pradesh,17,Najibabad,7 HAMID HUSAIN,MALE,70,GENERAL,IND,Helicopter,476,1,477,0.21,346687
Uttar Pradesh,17,Najibabad,8 MO. UMAR,MALE,72,GENERAL,GKP,CAN,434,1,435,0.19,346687
Uttar Pradesh,17,Najibabad,9 SHARVAN RAJPUT,MALE,59,GENERAL,AAAP,Broom,416,6,422,0.18,346687
