STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Kerala,35,NILAMBUR,2 ADV: V.V. PRAKASH,MALE,57,GENERAL,INC,Hand,76713,1814,78527,45.34,226115
Kerala,35,NILAMBUR,3 ADV. T. K ASHOKKUMAR,MALE,42,GENERAL,BJP,Lotus,8440,155,8595,4.96,226115
Kerala,35,NILAMBUR,4 K. BABU MANI,MALE,54,GENERAL,SDPI,Television,3249,32,3281,1.89,226115
Kerala,35,NILAMBUR,5 SAJADURAHMAN.C.P,MALE,31,GENERAL,IND,Walking Stick,554,5,559,0.32,226115
Kerala,35,NILAMBUR,6 ANILA MATHEW,FEMALE,52,GENERAL,ICSP,Tractor Chalata Kisan,501,8,509,0.29,226115
Kerala,35,NILAMBUR,7 NOTA,,,,NOTA,NOTA,499,8,507,0.29,226115
TURN OUT,,,,,,TOTAL:,,,169461,3744,173205,76.6,
Kerala,36,WANDOOR,1 A P ANILKUMAR,MALE,56,SC,INC,Hand,85776,1639,87415,51.44,226658
Kerala,36,WANDOOR,2 MIDHUNA P,FEMALE,28,SC,CPI(M),"Hammer, Sickle and Star",70548,1304,71852,42.28,226658
Kerala,36,WANDOOR,3 Dr. P C VIJAYAN,MALE,63,SC,BJP,Lotus,6929,128,7057,4.15,226658
Kerala,36,WANDOOR,4 KRISHNAN C,MALE,58,SC,WPOI,Gas Cylinder,2843,100,2943,1.73,226658
Kerala,36,WANDOOR,5 NOTA,,,,NOTA,NOTA,660,4,664,0.39,226658
TURN OUT,,,,,,TOTAL:,,,166756,3175,169931,74.97,
Kerala,37,MANJERI,1 Adv. U.A. LATHEEF,MALE,71,GENERAL,IUML,Ladder,77384,1452,78836,50.22,207051
Kerala,37,MANJERI,2 NAZAR DEBONA,MALE,60,GENERAL,CPI,Ears of Corn And Sickle,62881,1382,64263,40.93,207051
Kerala,37,MANJERI,3 P.R. RASMIL NATH,MALE,42,GENERAL,BJP,Lotus,11030,320,11350,7.23,207051
Kerala,37,MANJERI,4 PALATHINGAL ABOOBACKER,MALE,42,GENERAL,IND,Football,1332,9,1341,0.85,207051
Kerala,37,MANJERI,5 NOTA,,,,NOTA,NOTA,1185,17,1202,0.77,207051
TURN OUT,,,,,,TOTAL:,,,153812,3180,156992,75.82,
Kerala,38,PERINTHALMANNA,1 NAJEEB KANTHAPURAM,MALE,45,GENERAL,IUML,Ladder,75264,1266,76530,46.21,218090
